Player,Player Link,Player Key,Team,Team Link,Position,Age,2025-26,2026-27,2027-28,2028-29,2029-30
Pete Nance,https://www.spotrac.com/nba/player/_/id/86006/pete-nance,pete-nance,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,PF,24,Two-Way,RFA,,,
Peyton Watson,https://www.spotrac.com/nba/player/_/id/78138/peyton-watson,peyton-watson,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,SG,22,$4356476,RFA,,,
P.J. Hall,https://www.spotrac.com/nba/player/_/id/94515/pj-hall,pj-hall,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,PF,22,RFA,,,,
P.J. Tucker,https://www.spotrac.com/nba/player/_/id/11059/pj-tucker,pj-tucker,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,PF,39,$3468960,UFA,,,
PJ Washington,https://www.spotrac.com/nba/player/_/id/31569/pj-washington,pj-washington,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,PF,26,$14152174,UFA,,,
Precious Achiuwa,https://www.spotrac.com/nba/player/_/id/70662/precious-achiuwa,precious-achiuwa,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,PF,25,UFA,,,,
Quentin Grimes,https://www.spotrac.com/nba/player/_/id/74132/quentin-grimes,quentin-grimes,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,SG,24,RFA,,,,
Quenton Jackson,https://www.spotrac.com/nba/player/_/id/79955/quenton-jackson,quenton-jackson,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,G,26,RFA,,,,
Quinten Post,https://www.spotrac.com/nba/player/_/id/93959/quinten-post,quinten-post,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,C,24,$1955377,RFA,,,
Rayan Rupert,https://www.spotrac.com/nba/player/_/id/82212/rayan-rupert,rayan-rupert,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,SG,20,$2221677,RFA,,,
RayJ Dennis,https://www.spotrac.com/nba/player/_/id/95567/rayj-dennis,rayj-dennis,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,PG,23,Two-Way,RFA,,,
Reece Beekman,https://www.spotrac.com/nba/player/_/id/94484/reece-beekman,reece-beekman,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,PG,23,RFA,,,,
Reed Sheppard,https://www.spotrac.com/nba/player/_/id/91739/reed-sheppard,reed-sheppard,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly,SG,20,$10603560,$11108880,$14041625,RFA,
Richaun Holmes,https://www.spotrac.com/nba/player/_/id/17865/richaun-holmes,richaun-holmes,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,C,31,$13280737,UFA,,,
Ricky Council IV,https://www.spotrac.com/nba/player/_/id/84718/ricky-council,ricky-council,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,G,23,$2221677,$2406205,UFA,,
Riley Minix,https://www.spotrac.com/nba/player/_/id/95269/riley-minix,riley-minix,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,SF,24,RFA,,,,
