Player,Player Link,Player Key,Team,Team Link,Age,Position,2024-25,2025-26,2026-27,2027-28,2028-29
Obi Toppin,https://www.spotrac.com/nba/player/_/id/70650,obi-toppin,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,26,PF,$13535000,$14520000,$15480000,$16465000,UFA
Ochai Agbaji,https://www.spotrac.com/nba/player/_/id/78124,ochai-agbaji,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,24,SF,$4310280,$6383525,RFA,,
OG Anunoby,https://www.spotrac.com/nba/player/_/id/23618,og-anunoby,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,27,SF,$36637932,$39568966,$42500000,$45431034,$48362068
Olivier-Maxence Prosper,https://www.spotrac.com/nba/player/_/id/84439,olivier-maxence-prosper,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,22,PF,$2870400,$3007080,$5259383,RFA,
Onyeka Okongwu,https://www.spotrac.com/nba/player/_/id/70648,onyeka-okongwu,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,24,C,$14000000,$15000000,$16100000,$16880000,UFA
Orlando Robinson,https://www.spotrac.com/nba/player/_/id/78309,orlando-robinson,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly,24,C,$2087519,RFA,,,
Oscar Tshiebwe,https://www.spotrac.com/nba/player/_/id/84732,oscar-tshiebwe,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,25,PF,Two-Way,RFA,,,
Oso Ighodaro,https://www.spotrac.com/nba/player/_/id/93953,oso-ighodaro,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,22,C,$1157153,$1955377,$2296271,$2486995,UFA
Ousmane Dieng,https://www.spotrac.com/nba/player/_/id/78118,ousmane-dieng,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,21,SF,$5027040,$6670882,RFA,,
Pacome Dadiet,https://www.spotrac.com/nba/player/_/id/91782,pacome-dadiet,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,19,SG,$1808080,$2847600,$2983680,$5373608,RFA
Paolo Banchero,https://www.spotrac.com/nba/player/_/id/78110,paolo-banchero,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,22,PF,$12160800,$15334769,RFA,,
Pascal Siakam,https://www.spotrac.com/nba/player/_/id/20232,pascal-siakam,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,30,PF,$42176400,$45550512,$48924624,$52298736,UFA
Pat Connaughton,https://www.spotrac.com/nba/player/_/id/17869,pat-connaughton,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,32,SG,$9423869,$9423869,UFA,,
Pat Spencer,https://www.spotrac.com/nba/player/_/id/79256,pat-spencer,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,28,G,Two-Way,RFA,,,
